"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"ANGPTL4",0,1.41520688522516,0.824,0.166,0,"Epithelial 1","ANGPTL4"
"CRYAB",0,1.33641916774085,0.9,0.222,0,"Epithelial 1","CRYAB"
"NNMT",0,1.33011029602356,0.878,0.185,0,"Epithelial 1","NNMT"
"CD24",0,1.30401728671689,0.952,0.168,0,"Epithelial 1","CD24"
"SERPINA1",0,1.2779886243723,0.887,0.169,0,"Epithelial 1","SERPINA1"
"RNASET2",0,1.22086715567006,0.876,0.152,0,"Epithelial 1","RNASET2"
"NDUFA4L2",0,1.13039434806833,0.897,0.351,0,"Epithelial 1","NDUFA4L2"
"TMEM176A",0,1.08508425988266,0.915,0.228,0,"Epithelial 1","TMEM176A"
"BIRC3",0,1.07363741293394,0.666,0.136,0,"Epithelial 1","BIRC3"
"CA9",0,1.03990771834449,0.873,0.127,0,"Epithelial 1","CA9"
"KRT8",0,1.03514147565437,0.821,0.194,0,"Epithelial 1","KRT8"
"KRT18",0,1.01170250094544,0.824,0.208,0,"Epithelial 1","KRT18"
"ENO1",0,0.963527083675926,0.897,0.236,0,"Epithelial 1","ENO1"
"S100A10",0,0.962046783282746,0.944,0.284,0,"Epithelial 1","S100A10"
"KLF6",0,0.951509827253293,0.793,0.267,0,"Epithelial 1","KLF6"
"RRAD",0,0.950064277465103,0.569,0.188,0,"Epithelial 1","RRAD"
"TMEM176B",0,0.947229324248453,0.895,0.235,0,"Epithelial 1","TMEM176B"
"LDHA",0,0.938613276821411,0.925,0.212,0,"Epithelial 1","LDHA"
"TGFBI",0,0.930370796103492,0.804,0.198,0,"Epithelial 1","TGFBI"
"RARRES2",0,0.928205093669687,0.862,0.212,0,"Epithelial 1","RARRES2"
"LINC01320",0,0.925569632763342,0.783,0.166,0,"Epithelial 1","LINC01320"
"PLIN2",0,0.916603678547783,0.77,0.249,0,"Epithelial 1","PLIN2"
"HILPDA",0,0.91012122675028,0.676,0.184,0,"Epithelial 1","HILPDA"
"ANXA4",0,0.906721364082717,0.829,0.225,0,"Epithelial 1","ANXA4"
"EGLN3",0,0.86910817620928,0.8,0.18,0,"Epithelial 1","EGLN3"
"C19orf33",0,0.860300960118134,0.852,0.173,0,"Epithelial 1","C19orf33"
"IGFBP3",0,0.851877804969579,0.65,0.199,0,"Epithelial 1","IGFBP3"
"TMEM91",0,0.841953063815177,0.906,0.203,0,"Epithelial 1","TMEM91"
"CD70",0,0.837062370050115,0.817,0.141,0,"Epithelial 1","CD70"
"SLC16A3",0,0.83400102120269,0.805,0.182,0,"Epithelial 1","SLC16A3"
"NDRG1",0,0.830028986138495,0.792,0.267,0,"Epithelial 1","NDRG1"
"PLP2",0,0.824277506474603,0.829,0.187,0,"Epithelial 1","PLP2"
"PERP",0,0.82357502727422,0.806,0.15,0,"Epithelial 1","PERP"
"PFKP",0,0.807003485497455,0.802,0.184,0,"Epithelial 1","PFKP"
"TSPAN1",0,0.802841446191769,0.711,0.196,0,"Epithelial 1","TSPAN1"
"CLDN4",0,0.796474298385197,0.688,0.156,0,"Epithelial 1","CLDN4"
"PKM",0,0.794980210766272,0.855,0.265,0,"Epithelial 1","PKM"
"LGALS3",0,0.790700807023186,0.793,0.279,0,"Epithelial 1","LGALS3"
"CLU",0,0.782382862055225,0.782,0.264,0,"Epithelial 1","CLU"
"LY6E",0,0.780686323908446,0.827,0.289,0,"Epithelial 1","LY6E"
"SPP1",0,0.774860730055099,0.734,0.264,0,"Epithelial 1","SPP1"
"BNIP3",0,0.773484140105342,0.836,0.283,0,"Epithelial 1","BNIP3"
"ZFAS1",0,0.764774350790968,0.769,0.291,0,"Epithelial 1","ZFAS1"
"ATP1B1",0,0.758306510819627,0.776,0.259,0,"Epithelial 1","ATP1B1"
"TPI1",0,0.737510925203695,0.873,0.279,0,"Epithelial 1","TPI1"
"VEGFA",0,0.730774541325415,0.754,0.217,0,"Epithelial 1","VEGFA"
"MIF",0,0.72652402873903,0.882,0.288,0,"Epithelial 1","MIF"
"NOL3",0,0.726457441121416,0.767,0.221,0,"Epithelial 1","NOL3"
"SPINT2",0,0.726245039088219,0.803,0.222,0,"Epithelial 1","SPINT2"
"DUSP1",0,0.724813300782813,0.745,0.374,0,"Epithelial 1","DUSP1"
"TNFRSF12A",0,0.722839702271777,0.672,0.219,0,"Epithelial 1","TNFRSF12A"
"CA12",0,0.712509631562936,0.757,0.146,0,"Epithelial 1","CA12"
"ADSSL1",0,0.70056256178683,0.849,0.177,0,"Epithelial 1","ADSSL1"
"ERRFI1",0,0.698171473615398,0.778,0.24,0,"Epithelial 1","ERRFI1"
"GAPDH",0,0.694422662411899,0.887,0.276,0,"Epithelial 1","GAPDH"
"PDK4",0,0.656263727921758,0.764,0.309,0,"Epithelial 1","PDK4"
"CD68",0,0.656086369323055,0.874,0.172,0,"Epithelial 1","CD68"
"NPM1",0,0.652729335776814,0.837,0.298,0,"Epithelial 1","NPM1"
"CYR61",0,0.650898087876472,0.612,0.267,0,"Epithelial 1","CYR61"
"RETREG1",0,0.649134315238594,0.645,0.167,0,"Epithelial 1","RETREG1"
"TMSB10",0,0.640771796369674,0.877,0.395,0,"Epithelial 1","TMSB10"
"IL32",0,0.640371012061208,0.737,0.304,0,"Epithelial 1","IL32"
