"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZNF292",0,5.2804982744708,1,0.152,0,"Epithelial 1","ZNF292"
"AHNAK2",0,4.44867541658696,1,0.157,0,"Epithelial 1","AHNAK2"
"MITF",0,4.36118371516895,1,0.159,0,"Epithelial 1","MITF"
"CXADR",0,4.1861921069065,1,0.152,0,"Epithelial 1","CXADR"
"DCDC2",0,4.173107228383,1,0.145,0,"Epithelial 1","DCDC2"
"PEG10",0,4.13941129775873,1,0.186,0,"Epithelial 1","PEG10"
"SH2D3A",0,4.1325851335115,1,0.153,0,"Epithelial 1","SH2D3A"
"LSR",0,4.11078879539675,1,0.152,0,"Epithelial 1","LSR"
"ABCC3",0,4.10243824479652,1,0.158,0,"Epithelial 1","ABCC3"
"KLF5",0,4.01617577320175,1,0.159,0,"Epithelial 1","KLF5"
"DDR1",0,4.01338271760061,1,0.156,0,"Epithelial 1","DDR1"
"RASGRP1",0,3.85704760330476,1,0.274,0,"Epithelial 1","RASGRP1"
"BIRC7",0,3.73069500238745,1,0.288,0,"Epithelial 1","BIRC7"
"ZNF584",0,3.68538990554891,1,0.245,0,"Epithelial 1","ZNF584"
"SDC4",0,3.63647425596326,1,0.161,0,"Epithelial 1","SDC4"
"PARD6B",0,3.63172465255029,1,0.295,0,"Epithelial 1","PARD6B"
"MACC1",0,3.62877548566561,1,0.172,0,"Epithelial 1","MACC1"
"SYK",0,3.62605824071077,1,0.182,0,"Epithelial 1","SYK"
"MUC1",0,3.58251787705192,1,0.157,0,"Epithelial 1","MUC1"
"DSG2",0,3.5824714193066,1,0.23,0,"Epithelial 1","DSG2"
"WWC1",0,3.56798465084201,1,0.164,0,"Epithelial 1","WWC1"
"F2RL1",0,3.56170859429132,1,0.303,0,"Epithelial 1","F2RL1"
"PAX2",0,3.5356755442389,1,0.282,0,"Epithelial 1","PAX2"
"SLC41A2",0,3.53543493132476,1,0.169,0,"Epithelial 1","SLC41A2"
"TRIM55",0,3.53264335449589,1,0.302,0,"Epithelial 1","TRIM55"
"MAPK13",0,3.5227925008285,1,0.304,0,"Epithelial 1","MAPK13"
