"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",0,1.13554532417838,0.782,0.146,0,"CD4 T-cell","IL7R"
"ZFP36L2",0,0.937877624855597,0.847,0.346,0,"CD4 T-cell","ZFP36L2"
"LTB",0,0.649393843940475,0.646,0.226,0,"CD4 T-cell","LTB"
"CD52",0,0.590956729799444,0.796,0.397,0,"CD4 T-cell","CD52"
"RPS29",0,0.588258188474916,0.902,0.338,0,"CD4 T-cell","RPS29"
"CXCR4",0,0.580643450859349,0.81,0.413,0,"CD4 T-cell","CXCR4"
"RPS3",0,0.568429186537812,0.896,0.361,0,"CD4 T-cell","RPS3"
"RPS12",0,0.546654616602268,0.847,0.343,0,"CD4 T-cell","RPS12"
"RPL3",0,0.536106557646238,0.85,0.369,0,"CD4 T-cell","RPL3"
"RPS27",0,0.534995389557391,0.912,0.344,0,"CD4 T-cell","RPS27"
"RPS18",0,0.528831205754224,0.858,0.342,0,"CD4 T-cell","RPS18"
"RPL13",0,0.52230382956192,0.859,0.325,0,"CD4 T-cell","RPL13"
"TSC22D3",0,0.51648968270524,0.75,0.394,0,"CD4 T-cell","TSC22D3"
"BTG1",0,0.509793349787004,0.814,0.461,0,"CD4 T-cell","BTG1"
"IL32",0,1.43566982161513,0.96,0.451,0,"Treg","IL32"
"BATF",0,0.942310155626394,0.849,0.197,0,"Treg","BATF"
"TIGIT",5.64191380596802e-307,0.668548183235194,0.709,0.153,1.1283827611936e-303,"Treg","TIGIT"
"TRAC",1.03995951207742e-250,0.824078776681708,0.9,0.394,2.07991902415485e-247,"Treg","TRAC"
"CD27",1.48948911727754e-242,0.601605214276595,0.784,0.212,2.97897823455508e-239,"Treg","CD27"
"DUSP4",6.2370232378639e-228,0.881408949217006,0.84,0.353,1.24740464757278e-224,"Treg","DUSP4"
"ICOS",3.04949279417853e-219,0.529710761356886,0.717,0.199,6.09898558835706e-216,"Treg","ICOS"
"UGP2",1.59848283888714e-215,0.551623431858459,0.75,0.279,3.19696567777428e-212,"Treg","UGP2"
"TNFRSF18",9.60429419306232e-213,0.644526046975659,0.634,0.198,1.92085883861246e-209,"Treg","TNFRSF18"
"CARD16",1.40604060514385e-211,0.635328221814427,0.736,0.339,2.8120812102877e-208,"Treg","CARD16"
"LTB1",9.95534478984695e-200,0.888758574518606,0.816,0.35,1.99106895796939e-196,"Treg","LTB"
"CD2",1.65139567304192e-178,0.644190119664471,0.852,0.393,3.30279134608385e-175,"Treg","CD2"
"ARID5B",9.74799974049836e-175,0.557135767499579,0.702,0.276,1.94959994809967e-171,"Treg","ARID5B"
"TNFRSF4",2.53748452297884e-174,0.557768573822915,0.571,0.15,5.07496904595768e-171,"Treg","TNFRSF4"
"CD3D",2.7758175037224e-154,0.546814466505071,0.877,0.419,5.5516350074448e-151,"Treg","CD3D"
"GAPDH",1.83309633500618e-144,0.572516767757838,0.809,0.514,3.66619267001237e-141,"Treg","GAPDH"
"S100A4",1.34090741438511e-141,0.598936681552357,0.86,0.524,2.68181482877022e-138,"Treg","S100A4"
"PMAIP1",1.42703969447506e-136,0.669716784376996,0.709,0.371,2.85407938895013e-133,"Treg","PMAIP1"
"TRBC2",7.60257343482368e-89,0.523841748654895,0.708,0.396,1.52051468696474e-85,"Treg","TRBC2"
"TRBC1",1.07210207449703e-87,0.680613595895501,0.626,0.362,2.14420414899407e-84,"Treg","TRBC1"
"RGS1",1.75893355001785e-74,0.507621719331341,0.768,0.464,3.51786710003571e-71,"Treg","RGS1"
"GNLY",0,2.25658870250135,0.943,0.169,0,"NK cell 1","GNLY"
"GZMB",0,1.64352206628873,0.937,0.166,0,"NK cell 1","GZMB"
"NKG7",0,1.3512053536886,0.986,0.293,0,"NK cell 1","NKG7"
"KLRD1",0,1.18844407137879,0.909,0.131,0,"NK cell 1","KLRD1"
