,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
FLT3LG,0,4.451557214,0.984,0.156,0,CD4 T-cell,FLT3LG
PASK,0,4.088555046,0.998,0.257,0,CD4 T-cell,PASK
IL7R,0,4.007465226,1,0.287,0,CD4 T-cell,IL7R
ZNF165,0,3.997433591,0.993,0.201,0,CD4 T-cell,ZNF165
LTB,0,3.938030877,1,0.337,0,CD4 T-cell,LTB
EEF1D,0,3.909080874,0.997,0.301,0,CD4 T-cell,EEF1D
RPS27A,0,3.890400271,0.991,0.288,0,CD4 T-cell,RPS27A
LEF1,0,3.868170176,0.999,0.214,0,CD4 T-cell,LEF1
RPS3,0,3.848423562,0.994,0.277,0,CD4 T-cell,RPS3
CCR6,0,3.820246499,1,0.341,0,CD4 T-cell,CCR6
P2RY10,0,3.80753526,1,0.44,0,CD4 T-cell,P2RY10
S1PR1,0,3.790136348,0.997,0.318,0,CD4 T-cell,S1PR1
INPP4B,0,3.781673785,1,0.421,0,CD4 T-cell,INPP4B
GPR171,0,3.772642637,1,0.362,0,CD4 T-cell,GPR171
RPS6,0,3.737398437,0.984,0.279,0,CD4 T-cell,RPS6
AQP3,0,3.694819394,1,0.245,0,CD4 T-cell,AQP3
ZNF90,0,3.681822004,0.969,0.299,0,CD4 T-cell,ZNF90
RPS14,0,3.666826221,0.982,0.267,0,CD4 T-cell,RPS14
CD28,0,3.650137532,1,0.304,0,CD4 T-cell,CD28
RPL6,0,3.642056472,0.993,0.306,0,CD4 T-cell,RPL6
SELL,0,3.633035207,0.966,0.284,0,CD4 T-cell,SELL
HOMER2,0,3.612610042,1,0.409,0,CD4 T-cell,HOMER2
ZNF831,0,3.612005609,1,0.459,0,CD4 T-cell,ZNF831
CCR7,0,3.598293818,0.997,0.238,0,CD4 T-cell,CCR7
TNFRSF25,0,3.527819643,1,0.407,0,CD4 T-cell,TNFRSF25
RPL7,0,3.525693112,0.97,0.287,0,CD4 T-cell,RPL7
CASK,0,3.494597995,1,0.48,0,CD4 T-cell,CASK
ZEB1,0,3.471164948,1,0.489,0,CD4 T-cell,ZEB1
SCML1,0,3.457273154,0.926,0.36,0,CD4 T-cell,SCML1
SLAMF6,0,3.442576802,0.999,0.352,0,CD4 T-cell,SLAMF6
RPSA,0,3.421807418,0.996,0.31,0,CD4 T-cell,RPSA
CALCRL,0,3.386293671,1,0.484,0,CD4 T-cell,CALCRL
ZNHIT6,0,3.340113851,0.999,0.421,0,CD4 T-cell,ZNHIT6
EEF2,0,3.312208138,0.985,0.294,0,CD4 T-cell,EEF2
MYCBP2,0,3.278701817,0.997,0.39,0,CD4 T-cell,MYCBP2
TCF7,0,3.24150845,1,0.349,0,CD4 T-cell,TCF7
HINT1,0,3.218981982,1,0.441,0,CD4 T-cell,HINT1
PIK3R1,0,3.204672878,1,0.474,0,CD4 T-cell,PIK3R1
HIST1H4C,0,3.199717529,1,0.496,0,CD4 T-cell,HIST1H4C
NACA,0,3.192140446,0.981,0.321,0,CD4 T-cell,NACA
PBX4,0,3.191200886,1,0.482,0,CD4 T-cell,PBX4
FXYD7,0,3.075009478,1,0.421,0,CD4 T-cell,FXYD7
EID2B,0,3.073217173,1,0.49,0,CD4 T-cell,EID2B
SVIP,0,3.059740578,1,0.493,0,CD4 T-cell,SVIP
ARHGAP15,0,3.054503384,1,0.396,0,CD4 T-cell,ARHGAP15
BACH2,0,3.036745823,0.999,0.426,0,CD4 T-cell,BACH2
NDFIP1,0,3.024266375,0.893,0.357,0,CD4 T-cell,NDFIP1
APAF1,0,2.987967346,0.999,0.416,0,CD4 T-cell,APAF1
CAMK4,0,2.987675734,1,0.466,0,CD4 T-cell,CAMK4
SLAMF1,0,2.978597867,0.999,0.339,0,CD4 T-cell,SLAMF1
SLC23A2,0,2.949255291,0.999,0.427,0,CD4 T-cell,SLC23A2
NPFFR1,0,2.927476079,0.998,0.509,0,CD4 T-cell,NPFFR1
NPM1,0,2.900554197,0.997,0.347,0,CD4 T-cell,NPM1
CLEC2D,0,2.877224975,1,0.42,0,CD4 T-cell,CLEC2D
FLT3,0,2.874606988,1,0.447,0,CD4 T-cell,FLT3
CD300LB,0,2.869713264,0.936,0.292,0,CD4 T-cell,CD300LB
RHOH,0,2.860759678,1,0.44,0,CD4 T-cell,RHOH
UBA52,0,2.849866743,0.931,0.36,0,CD4 T-cell,UBA52
RORA,0,2.849286015,1,0.412,0,CD4 T-cell,RORA
SPOCK2,0,2.836798191,1,0.409,0,CD4 T-cell,SPOCK2
GATA3,0,2.832671998,1,0.475,0,CD4 T-cell,GATA3
GNG4,0,2.820145353,0.998,0.382,0,CD4 T-cell,GNG4
MS4A1,0,2.814613155,1,0.497,0,CD4 T-cell,MS4A1
ZNF200,0,2.78061684,0.997,0.368,0,CD4 T-cell,ZNF200
CHN1,0,2.76944091,0.997,0.356,0,CD4 T-cell,CHN1
PFDN5,0,2.758847768,0.938,0.447,0,CD4 T-cell,PFDN5
ZDHHC16,0,2.70938411,0.995,0.401,0,CD4 T-cell,ZDHHC16
BTF3,0,2.709098752,0.931,0.342,0,CD4 T-cell,BTF3
STK17A,0,2.695112374,1,0.474,0,CD4 T-cell,STK17A
CD40LG,0,2.691257817,1,0.312,0,CD4 T-cell,CD40LG
SCML4,0,2.663962716,1,0.47,0,CD4 T-cell,SCML4
SOCS1,0,2.652319204,1,0.467,0,CD4 T-cell,SOCS1
PML,0,2.639250087,1,0.495,0,CD4 T-cell,PML
TBC1D19,0,2.609982361,1,0.475,0,CD4 T-cell,TBC1D19
ARID5B,0,2.597241674,1,0.376,0,CD4 T-cell,ARID5B
RCAN3,0,2.593455863,1,0.373,0,CD4 T-cell,RCAN3
PDLIM1,0,2.582362126,1,0.537,0,CD4 T-cell,PDLIM1
STXBP3,0,2.571741828,0.994,0.337,0,CD4 T-cell,STXBP3
GPR18,0,2.570172763,1,0.493,0,CD4 T-cell,GPR18
CDC42SE2,0,2.520525905,1,0.492,0,CD4 T-cell,CDC42SE2
ST18,0,2.517214037,0.992,0.388,0,CD4 T-cell,ST18
TRAT1,0,2.515470642,1,0.397,0,CD4 T-cell,TRAT1
ICOS,0,2.496514003,1,0.379,0,CD4 T-cell,ICOS
CXCR4,0,2.440961211,0.999,0.479,0,CD4 T-cell,CXCR4
RASA2,0,2.414144845,1,0.485,0,CD4 T-cell,RASA2
PHF6,0,2.411941639,1,0.444,0,CD4 T-cell,PHF6
IFT57,0,2.410470669,1,0.5,0,CD4 T-cell,IFT57
IPCEF1,0,2.40266323,1,0.472,0,CD4 T-cell,IPCEF1
PBXIP1,0,2.402081017,1,0.496,0,CD4 T-cell,PBXIP1
LDB2,0,2.390660001,0.996,0.329,0,CD4 T-cell,LDB2
BCL11B,0,2.380828213,1,0.396,0,CD4 T-cell,BCL11B
KLF3,0,2.319199967,0.977,0.411,0,CD4 T-cell,KLF3
TSHZ2,0,2.313257048,1,0.355,0,CD4 T-cell,TSHZ2
RAP2B,0,2.270192662,0.984,0.361,0,CD4 T-cell,RAP2B
SMAGP,0,2.268332147,1,0.483,0,CD4 T-cell,SMAGP
ZNF444,0,2.264168903,0.999,0.502,0,CD4 T-cell,ZNF444
PLP2,0,2.261433619,0.999,0.413,0,CD4 T-cell,PLP2
TC2N,0,2.255907681,1,0.449,0,CD4 T-cell,TC2N
CD226,0,2.243921691,0.994,0.371,0,CD4 T-cell,CD226
APOBR,0,2.240813493,0.999,0.406,0,CD4 T-cell,APOBR
ZNF644,0,2.227838156,0.999,0.475,0,CD4 T-cell,ZNF644
C1QBP,0,2.215398393,0.93,0.34,0,CD4 T-cell,C1QBP
ELP2,0,2.211823153,0.999,0.457,0,CD4 T-cell,ELP2
TNFRSF4,0,2.204210384,0.716,0.461,0,CD4 T-cell,TNFRSF4
RRAS2,0,2.188229922,1,0.499,0,CD4 T-cell,RRAS2
SLC4A10,0,2.188229187,0.871,0.427,0,CD4 T-cell,SLC4A10
ZC3H12D,0,2.185853852,1,0.492,0,CD4 T-cell,ZC3H12D
KMT5C,0,2.103336866,1,0.488,0,CD4 T-cell,KMT5C
ANK3,0,2.102993685,0.995,0.309,0,CD4 T-cell,ANK3
